"","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases"
"Solomon Islands","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"Somalia","6","","","","","7","65","","","","","","","","","","","","","","0","","","","","","","","","24","3","7","6","19","58","206","","",""
"South Africa","4","4","0","15","","","","0","","1","","","","","0","3","1","0","2","0","4","3","0","","","5","3","12","34","12","19","28","19","46","44","29","27","63","57"
"South Sudan","","0","","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","1","0","1","1","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","4","7"
"Sri Lanka","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","3","1","0","0","1","0","1","0","0","0","0","3","10","20","26","22","36","37"
"Sudan","","2","0","","11","0","18","193","1","4","38","7","15","13","70","156","26","28","26","21","67","15","17","17","79","42","121","432","1342","382","845","310","892","342","166","156","1008","982","587"
"Suriname","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","0"
"Sweden","0","0","4","1","0","2","2","2","0","1","0","0","0","0","0","0","0","0","0","","","1","0","0","0","0","0","0","0","0","0","3","10","10","14","0","0","4","4"
"Switzerland","5","1","","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1"
"Syrian Arab Republic","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","1","0","1","5","59","13","61","31","16","91","70","80","173","203","303","332","400","448","353","498","493","366"
"Tajikistan","0","0","0","","0","0","0","0","0","0","2","3","2","3","3","14","11","3","11","35","166","723","1496","4455","1912","678","14","5","11","","","","","","","","","",""
"Thailand","90","5","16","19","19","28","63","28","77","12","8","3","2","1","13","9","13","11","15","52","43","38","53","19","40","28","40","53","58","87","216","536","632","762","1021","1038","1125","794","1918"
"Timor-Leste","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Togo","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tonga","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","3","0"
"Tunisia","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","3","2","4","2","2","4","7"
"Turkey","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","5","4","4","6","2","22","4","49","49","8","16","20","17","11","26","36","145","155","361","131","136","86"
"Turkmenistan","0","0","0","0","0","0","1","2","2","5","11","5","3","2","2","2","1","2","30","49","18","38","80","87","60","3","22","4","4","","","","","","","","","",""
"Tuvalu","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","61","","0","0","0","0","0","0","0","0","0","0"
"Uganda","","","","","","","","","","","","","","0","","","0","","","0","0","","","","","","","","95","78","4","","","","","0","3","32","181"
"Ukraine","10","0","4","2","","","5","8","17","","61","81","68","98","123","158","285","283","365","375","706","1364","3159","5277","3003","2976","1553","1103","109","","","","","","","","","",""
"United Arab Emirates","","","","","0","","0","","1","","0","","","0","0","0","0","0","0","1","0","0","0","0","2","3","7","9","0","4","15","12","26","12","12","2","1","3","20"
"United Kingdom of Great Britain and Northern Ireland","15","6","1","1","0","1","0","2","0","3","5","3","3","0","0","3","6","4","2","","0","","4","1","4","5","3","1","2","2","2","2","4","4","4","4","4","2","5"
"United Republic of Tanzania","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","5","5","160","4"
"United States of America","","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","2","1","1","5","2","0","2","0","4","5","4","3","2","3","0","3","1","5","2","5","3"
"Uruguay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","4","5","4","28","163","638","232","137","29","16","12","","","","","","","","","",""
"Vanuatu","0","","","","","0","0","0","0","0","0","0","","","","","5","","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Venezuela (Bolivarian Republic of)","775","786","31","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","22","30","22","12","31","24","21","23","50","31"
"Viet Nam","13","21","13","15","16","11","12","13","6","8","17","32","25","36","49","105","105","133","113","81","130","152","143","167","166","167","497","511","509","639","983","1827","1974","2361","2389","3487","2921","2688","1730"
"Yemen","2609","30","","","","7","0","2","7","0","5","10","36","8","2","","","","","3","24","","","54","6","","269","1","","4615","310","376","244","981","997","981","555","284","555"
"Zambia","0","0","1","1","","0","0","0","0","0","3","0","7","11","4","31","25","50","0","68","","0","","","","","","","4","52","22","14","19","35","16","27","19","29","12"
"Zimbabwe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","19","0","0","1","0","0","0","0","12","4","27","25","13","7","8"
